timestamp;temperatura;umidade;pressao;qualidade;luminosidade
2024-03-02T17:56:24-04:00;31,69;71,54;1004,72;33,81;100
2024-03-02T17:56:54-04:00;31,73;71,04;1004,72;33,79;100
2024-03-02T17:57:24-04:00;31,77;70,76;1004,73;33,76;100
2024-03-02T17:57:54-04:00;31,79;70,9;1004,73;33,76;100
2024-03-02T17:58:24-04:00;31,82;70,89;1004,74;33,87;100
2024-03-02T17:58:54-04:00;31,82;71,69;1004,74;33,43;100
2024-03-02T17:59:24-04:00;31,83;71,01;1004,75;33,61;100
2024-03-02T17:59:54-04:00;31,85;70,79;1004,75;33,81;100
2024-03-02T18:00:24-04:00;31,84;71,83;1004,76;33,56;100
2024-03-02T18:00:54-04:00;31,85;70,94;1004,77;33,63;100
2024-03-02T18:01:24-04:00;31,83;72,25;1004,77;33,61;100
2024-03-02T18:01:54-04:00;31,81;72,63;1004,77;33,61;98
2024-03-02T18:02:24-04:00;31,77;72,9;1004,78;33,69;94
2024-03-02T18:02:54-04:00;31,74;73,18;1004,79;33,71;92
2024-03-02T18:03:24-04:00;31,72;72,32;1004,79;33,81;88
2024-03-02T18:03:54-04:00;31,73;71,49;1004,8;33,87;83
2024-03-02T18:04:24-04:00;31,73;72,52;1004,79;33,76;79
2024-03-02T18:04:54-04:00;31,73;71,88;1004,79;33,81;75
2024-03-02T18:05:24-04:00;31,74;72,13;1004,8;33,71;71
2024-03-02T18:05:54-04:00;31,76;72,51;1004,81;33,61;67
2024-03-02T18:06:24-04:00;31,79;72,49;1004,82;33,51;63
2024-03-02T18:06:54-04:00;31,83;72;1004,82;33,48;60
2024-03-02T18:07:24-04:00;31,88;71,43;1004,82;33,69;57
2024-03-02T18:07:54-04:00;31,92;71,39;1004,83;33,53;55
2024-03-02T18:08:24-04:00;31,94;71;1004,82;33,53;56
2024-03-02T18:08:54-04:00;31,96;70,96;1004,82;33,48;50
2024-03-02T18:09:24-04:00;31,96;71,9;1004,83;33,41;48
2024-03-02T18:09:54-04:00;31,96;72,02;1004,84;33,28;47
2024-03-02T18:10:24-04:00;31,97;71,62;1004,84;33,28;42
2024-03-02T18:10:54-04:00;31,97;71,08;1004,84;33,74;41
2024-03-02T18:11:24-04:00;31,97;70,93;1004,85;33,56;37
2024-03-02T18:11:54-04:00;32;70,62;1004,86;33,53;33
2024-03-02T18:12:24-04:00;32,01;70,48;1004,88;33,48;30
2024-03-02T18:12:54-04:00;32;70,65;1004,89;33,48;26
2024-03-02T18:13:24-04:00;31,98;70,79;1004,91;33,31;23
2024-03-02T18:13:54-04:00;31,94;70,89;1004,92;33,31;20
2024-03-02T18:14:24-04:00;31,9;70,85;1004,92;33,36;17
2024-03-02T18:14:54-04:00;31,84;70,77;1004,94;33,56;14
2024-03-02T18:15:24-04:00;31,77;71,07;1004,96;33,76;11
2024-03-02T18:15:54-04:00;31,7;71,24;1004,98;33,87;9
2024-03-02T18:16:24-04:00;31,65;71,09;1005;33,84;7
2024-03-02T18:16:54-04:00;31,6;73,13;1005,01;33,71;5
2024-03-02T18:17:24-04:00;31,57;71,91;1005,01;33,76;4
2024-03-02T18:17:54-04:00;31,54;73,05;1005,02;33,74;2
2024-03-02T18:18:24-04:00;31,51;71,89;1005,03;33,84;1
2024-03-02T18:18:54-04:00;31,48;72,56;1005,04;33,89;1
2024-03-02T18:19:24-04:00;31,47;71,88;1005,05;33,92;2
2024-03-02T18:19:54-04:00;31,45;72,89;1005,06;33,92;2
2024-03-02T18:20:24-04:00;31,43;71,57;1005,07;34,05;2
2024-03-02T18:20:54-04:00;31,41;71,6;1005,08;34,1;1
2024-03-02T18:21:24-04:00;31,39;72,78;1005,09;34,1;1
2024-03-02T18:21:54-04:00;31,36;72,02;1005,1;33,97;1
2024-03-02T18:22:24-04:00;31,35;71,79;1005,1;34,21;1
2024-03-02T18:22:54-04:00;31,33;71,64;1005,11;34,21;0
2024-03-02T18:23:24-04:00;31,32;71,62;1005,12;34,21;0
2024-03-02T18:23:54-04:00;31,3;71,81;1005,13;34,21;0
2024-03-02T18:24:24-04:00;31,29;71,84;1005,15;34,23;0
2024-03-02T18:24:54-04:00;31,23;73,85;1005,15;34,1;0
2024-03-02T18:25:24-04:00;31,19;72,68;1005,16;34,21;0
2024-03-02T18:25:54-04:00;31,17;72,37;1005,18;34,34;0
2024-03-02T18:26:24-04:00;31,13;72,89;1005,19;34,29;0
2024-03-02T18:26:54-04:00;31,1;72,7;1005,19;34,5;0
2024-03-02T18:27:24-04:00;31,1;72,74;1005,18;34,42;0
2024-03-02T18:27:54-04:00;31,12;72,35;1005,18;34,31;0
2024-03-02T18:28:24-04:00;31,15;71,99;1005,19;34,29;0
2024-03-02T18:28:54-04:00;31,18;72,19;1005,19;34,21;0
2024-03-02T18:29:24-04:00;31,21;71,81;1005,19;34,18;0
2024-03-02T18:29:54-04:00;31,24;71,69;1005,18;34,18;0
2024-03-02T18:30:24-04:00;31,26;71,59;1005,16;34,1;0
2024-03-02T18:30:54-04:00;31,29;71,46;1005,16;34,08;0
2024-03-02T18:31:24-04:00;31,32;71,36;1005,16;34,08;0
2024-03-02T18:31:54-04:00;31,34;71,22;1005,15;34,05;0
2024-03-02T18:32:24-04:00;31,36;71,96;1005,15;33,92;0
2024-03-02T18:32:54-04:00;31,39;71,26;1005,15;33,92;0
2024-03-02T18:33:24-04:00;31,41;71,14;1005,14;33,89;0
2024-03-02T18:33:54-04:00;31,41;71,34;1005,14;33,87;0
2024-03-02T18:34:24-04:00;31,42;71;1005,14;33,79;0
2024-03-02T18:34:54-04:00;31,44;71,03;1005,13;33,79;0
2024-03-02T18:35:24-04:00;31,46;70,95;1005,14;33,79;0
